antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
{'UHT-milk'},{'bottled water'},0.021384656508954825,0.060678962844159315,0.0010692328254477412,0.05,0.8240088105726873,1.0,-0.00022836595229423816,0.9887589864798324,-0.1791479820627802,0.013201320132013201,-0.011368810472396126,0.03381057268722467
{'UHT-milk'},{'other vegetables'},0.021384656508954825,0.12209302325581395,0.0021384656508954825,0.1,0.8190476190476191,1.0,-0.0004724517135699319,0.975452196382429,-0.1841782729805013,0.01513002364066194,-0.025165562913907272,0.05875752599890531
{'UHT-milk'},{'rolls/buns'},0.021384656508954825,0.10999732691793639,0.0018043303929430633,0.084375,0.7670640947752126,1.0,-0.0005479246601002167,0.972016571284165,-0.23682056825200742,0.013924703455389374,-0.028789044901636883,0.05038920109356015
{'UHT-milk'},{'sausage'},0.021384656508954825,0.0603448275862069,0.001136059877038225,0.053125,0.8803571428571428,1.0,-0.00015439353298491105,0.9923750995789234,-0.1219384875846502,0.014096185737976781,-0.007683486238532114,0.035975567552602436
{'UHT-milk'},{'soda'},0.021384656508954825,0.097099705960973,0.0012697139802191927,0.059375,0.6114848589125946,1.0,-0.0008067298788767283,0.9598940003072711,-0.3936628312412832,0.010832383124287342,-0.041781696395529574,0.03622569683413627
{'UHT-milk'},{'tropical fruit'},0.021384656508954825,0.06776263031275061,0.001537022186581128,0.071875,1.060687869822485,1.0,8.794161319966619e-05,1.004430836026666,0.058465850385378076,0.017543859649122806,0.004411290322580633,0.04727872287968442
{'UHT-milk'},{'whole milk'},0.021384656508954825,0.15791232290831328,0.0025394279604383854,0.11875,0.7519995768091409,1.0,-0.0008374728234870521,0.9555604846430488,-0.25205376344086017,0.014366729678638942,-0.04650622966431235,0.06741562632247143
{'UHT-milk'},{'yogurt'},0.021384656508954825,0.08587276129377172,0.001136059877038225,0.053125,0.618647859922179,1.0,-0.0007002996267045543,0.9654149055643334,-0.38646490536277606,0.010705289672544081,-0.03582407339717816,0.0331772859922179
{'beef'},{'citrus fruit'},0.033948142207965784,0.053127506014434646,0.0018043303929430633,0.0531496062992126,1.0004159857376318,1.0,7.502636104783807e-07,1.000023340841304,0.0004304248908564384,0.021159874608150466,2.3340296521795667e-05,0.043555935225078
{'beef'},{'other vegetables'},0.033948142207965784,0.12209302325581395,0.0028067361668003207,0.08267716535433071,0.6771653543307088,1.0,-0.0013380951492885252,0.9570316398842199,-0.33043075497915714,0.018316615787178372,-0.044897533503676264,0.052832835550728575
{'beef'},{'soda'},0.033948142207965784,0.097099705960973,0.0018043303929430633,0.0531496062992126,0.5473714443643616,1.0,-0.001492024233371711,0.9535828469268726,-0.4611986615277578,0.013960703205791108,-0.04867658140319611,0.03586592496653679
{'beef'},{'whole milk'},0.033948142207965784,0.15791232290831328,0.004677893611333868,0.1377952755905512,0.8726062225717343,1.0,-0.0006829363831477647,0.9766678994579381,-0.13128281555298396,0.024991074616208496,-0.023889492584952935,0.08370931786298613
{'beef'},{'yogurt'},0.033948142207965784,0.08587276129377172,0.0022052927024859663,0.06496062992125984,0.7564753822114647,1.0,-0.0007099280097056957,0.9776350258163452,-0.24994339765037354,0.01875,-0.022876608952282173,0.045320781886699954
{'berries'},{'other vegetables'},0.021785618818497728,0.12209302325581395,0.002673082063619353,0.12269938650306748,1.00496640373941,1.0,1.3209998570211899e-05,1.0006911692958205,0.005051919661155888,0.018930430667297684,0.000690691910778862,0.07229660075016538
{'berries'},{'pip fruit'},0.021785618818497728,0.04905105586741513,0.001136059877038225,0.05214723926380368,1.0631216462446298,1.0,6.745227126588255e-05,1.003266523583245,0.06069617353704693,0.016299137104506232,0.0032558881478255974,0.037654001103291486
{'berries'},{'rolls/buns'},0.021785618818497728,0.10999732691793639,0.0016706762897620957,0.07668711656441718,0.6971725469440696,1.0,-0.0007256835455257461,0.9639231608795772,-0.3074978332696246,0.012840267077555211,-0.037427090233523155,0.04593772596143095
{'berries'},{'soda'},0.021785618818497728,0.097099705960973,0.0014701951349906442,0.06748466257668712,0.6950037789384349,1.0,-0.0006451820464633252,0.9682417626865881,-0.3096851916159706,0.012521343198634035,-0.03279990446321176,0.04131287499102766
{'berries'},{'tropical fruit'},0.021785618818497728,0.06776263031275061,0.0012697139802191927,0.05828220858895705,0.860093658111591,1.0,-0.0002065368539131715,0.9899328420783169,-0.14257792027622787,0.014383043149129445,-0.010169536249092958,0.03850994058639174
{'berries'},{'whole milk'},0.021785618818497728,0.15791232290831328,0.00227211975407645,0.10429447852760736,0.660458136558238,1.0,-0.0011680979195475894,0.940138981958527,-0.3444986789664592,0.0128060263653484,-0.0636725199042047,0.05934148386812023
{'berries'},{'yogurt'},0.021785618818497728,0.08587276129377172,0.0014033680834001604,0.06441717791411043,0.7501468095772362,1.0,-0.0004674231610377962,0.9770671469450177,-0.254004232352256,0.013207547169811321,-0.02347111263200903,0.04037979518273615
{'beverages'},{'bottled water'},0.01657310879443999,0.060678962844159315,0.0010692328254477412,0.06451612903225806,1.0632371749324996,1.0,6.359377269770706e-05,1.0041017983390021,0.06047839086708336,0.014035087719298246,0.0040850423192024515,0.0410686372033537
{'beverages'},{'other vegetables'},0.01657310879443999,0.12209302325581395,0.0017375033413525795,0.10483870967741936,0.8586789554531491,1.0,-0.00028595761610811666,0.9807249109574692,-0.14336121509555616,0.01268911664226452,-0.01965392010254218,0.059534844712820244
